"car_park_no","address","x_coord","y_coord","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","combined_coords","converted_combined_coords","central"
"C38","BLK 715-717 CLEMENTI WEST STREET 2","20121.5156","31683.3711","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","31683.3711 20121.5156","103.76252679035963 1.302806667818673","No"
"C39","CLEMENTI SPORTS COMPLEX","20089.6113","32510.9746","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","32510.9746 20089.6113","103.76223990537257 1.3102912082645197","No"
"C4M","BLK 413A COMMONWEALTH AVENUE WEST","21009.1656","32642.4126","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","9","2.00","N","32642.4126 21009.1656","103.7705025129515 1.3114801086975776","No"
"C41","CLEMENTI WOODS","20789.5326","31386.0593","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","31386.0593 20789.5326","103.76852929483222 1.3001180488596047","No"
"C5","BLK 358-360,362-363,366-367 CLEMENTI AVE 2","20905.8297","32821.8286","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","32821.8286 20905.8297","103.769573948647 1.3131026590525159","No"
"C6","BLK 328-334 CLEMENTI AVE 2","20696.2978","32975.0306","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","32975.0306 20696.2978","103.7676911655017 1.314488113913117","No"
"C7","BLK 349-355 CLEMENTI AVE 2","21037.2754","33018.7828","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","33018.7828 21037.2754","103.77075500850212 1.3148838722798009","No"
"C8","BLK 335/338 CLEMENTI AVE 2","20800.9102","33216.8047","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","33216.8047 20800.9102","103.76863110345545 1.3166746567863592","No"
"C9","BLK 340/342/343/346-348 CLEMENTI AVE 5","20988.0194","33324.5654","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","33324.5654 20988.0194","103.77031234940885 1.3176492492395016","No"
"DRM1","BLK 104C DEPOT ROAD","25576.6096","29218.1692","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","14","2.15","N","29218.1692 25576.6096","103.8115434919542 1.2805131560457628","No"
