"car_park_no","address","x_coord","y_coord","car_park_type","type_of_parking_system","short_term_parking","free_parking","night_parking","car_park_decks","gantry_height","car_park_basement","combined_coords","converted_combined_coords","central"
"T3","BLK 109/114 TAMPINES ST 11","40700.7059","36530.5002","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","36530.5002 40700.7059","103.9474421943044 1.3466407021741555","No"
"T30","BLK 267/271 TAMPINES STREET 21","40920.2995","37019.6152","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","37019.6152 40920.2995","103.94941558410127 1.3510639814359553","No"
"T31","BLK 268-270 TAMPINES STREET 21","40760.3906","37026.1929","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","37026.1929 40760.3906","103.94797870694163 1.3511235363506409","No"
"T32","BLK 272-275 TAMPINES STREET 22","41035.0411","36785.1588","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","36785.1588 41035.0411","103.95044650654371 1.3489435958045213","No"
"T33","BLK 276/282 TAMPINES STREET 22","41243.9538","36627.3316","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","36627.3316 41243.9538","103.95232364470967 1.3475161741738961","No"
"T34","BLK 283/286 TAMPINES STREET 22","41284.2492","36781.6360","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","36781.6360 41284.2492","103.9526857910774 1.348911627439186","No"
"T35","BLK 287/298/299A/299B TAMPINES STREET 22","41456.9570","36778.5156","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","36778.5156 41456.9570","103.95423767399994 1.3488833306241552","No"
"T37","BLK 801, 820, 897/898 TAMPINES AVE 4/STREET 81","39468.8647","36543.2578","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","36543.2578 39468.8647","103.93637336474596 1.346756573312975","No"
"T38","BLK 902-916, 942-946 TAMPINES STREET 91","39932.1232","36937.4179","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","36937.4179 39932.1232","103.94053617774918 1.3503210301814024","No"
"T39","BLK 921-941 TAMPINES STREET 91","39926.9824","36424.8207","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","36424.8207 39926.9824","103.94048978184543 1.3456852935378616","No"
"T4","BLK 124/127 TAMPINES STREET 11","40964.6909","36395.5354","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","36395.5354 40964.6909","103.94981419991491 1.3454200181193685","No"
"T41","BLK 821/829 TAMPINES STREET 81","39350.7020","36706.4210","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","36706.4210 39350.7020","103.93531166289048 1.3482322058800873","No"
"T42","BLK 824/827 TAMPINES STREET 81","39062.7271","36823.2135","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","4.50","N","36823.2135 39062.7271","103.93272407564686 1.3492885418065712","No"
"T43","BLK 831/841 TAMPINES STREET 83","39241.8985","37029.2046","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","37029.2046 39241.8985","103.93433411754452 1.3511513824159775","No"
"T44","BLK 830/840 TAMPINES STREET 82","39357.5533","36980.6496","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","4.50","N","36980.6496 39357.5533","103.93537332934645 1.350712225268614","No"
"T45","BLK 843/855 TAMPINES STREET 83","39338.9023","37240.9629","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","37240.9629 39338.9023","103.93520583669421 1.3530664094691636","No"
"T46","BLK 842/856 TAMPINES STREET 82","39486.3058","37178.0754","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","37178.0754 39486.3058","103.9365303255465 1.3524976218939684","No"
"T47","BLK 857/864 TAMPINES STREET 83/AVE 5","39527.3164","37445.0986","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37445.0986 39527.3164","103.93689893386795 1.354912464910644","No"
"T47A","BLK 864B TAMPINES STREET 83","39328.7136","37444.6416","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","5","1.90","N","37444.6416 39328.7136","103.93511436165642 1.354908408076639","No"
"T48","BLK 865/874A TAMPINES ST 83/84","39076.7194","37331.6710","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","37331.6710 39076.7194","103.93284999223344 1.3538868383953737","No"
"T49","BLK 875/886A TAMPINES STREET 84 /AVE 8","38918.6987","37122.0189","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","37122.0189 38918.6987","103.93143000035806 1.3519908804356835","No"
"T49A","BLK 882A TAMPINES STREET 83","39139.9893","37058.3736","MULTI-STOREY CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","5","1.80","N","37058.3736 39139.9893","103.93341841093547 1.3514152142057083","No"
"T50","BLK 887-889 TAMPINES ST 81/AVENUE 3","38870.9497","36981.7596","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","36981.7596 38870.9497","103.93100089511255 1.3507224444833048","No"
"T51","BLK 894-896 TAMPINES STREET 81","38948.9356","36763.5017","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","36763.5017 38948.9356","103.93170156744084 1.3487485721393953","No"
"T54","BLK 513 TAMPINES CENTRAL 1","40286.9005","37300.6184","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","NO","YES","0","4.50","N","37300.6184 40286.9005","103.94372421839103 1.3536055365743227","No"
"T55","BLK 501/508 TAMPINES CENTRAL 1","40456.9061","37597.9862","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","0.00","N","37597.9862 40456.9061","103.94525194863836 1.3562947494678397","No"
"T56","BLK 827A TAMPINES ST 81","39079.6727","36911.3845","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","NO","NO","0","0.00","N","36911.3845 39079.6727","103.93287637468973 1.3500859214996381","No"
"T57","BLK 885A TAMPINES ST 83","39101.1472","36984.4555","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","NO","NO","0","0.00","N","36984.4555 39101.1472","103.93306936325611 1.3507467406692855","No"
"T58","BLK 872A TAMPINES ST 86","38884.7143","37492.6034","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","37492.6034 38884.7143","103.93112476356961 1.3553423222406011","No"
"T7","BLK 136/138 TAMPINES ST 11","40518.5548","36401.0077","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","36401.0077 40518.5548","103.94580540367191 1.345469696838021","No"
"T7A","BLK 136A TAMPINES ST 11","40498.7308","36344.8610","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","36344.8610 40498.7308","103.94562724999794 1.344961935269825","No"
"T72","BLK 401/417 TAMPINES STREET 41","40496.7609","37796.9601","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37796.9601 40496.7609","103.94561015235311 1.3580941783804652","No"
"T73","BLK 418/424 TAMPINES STREET 41","40642.7732","37796.0139","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37796.0139 40642.7732","103.94692216628528 1.35808555961423","No"
"T74","BLK 425/428 TAMPINES STREET 41","40786.4727","37942.9375","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37942.9375 40786.4727","103.948213461328 1.3594142202064823","No"
"T75","BLK 429/432 TAMPINES STREET 41","41035.8679","37933.5266","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","37933.5266 41035.8679","103.95045443431617 1.359329003227221","No"
"T76","BLK 433/443 TAMPINES STREET 43","41168.0391","38026.2765","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","3.80","N","38026.2765 41168.0391","103.9516421187102 1.3601677402123449","No"
"T77","BLK 472/484 TAMPINES STREET 43/44","41294.1032","38193.2412","SURFACE CAR PARK","ELECTRONIC PARKING","NO","NO","NO","0","4.50","N","38193.2412 41294.1032","103.95277496065557 1.3616776499929377","No"
"T78","BLK 444/450 TAMPINES STREET 42","41120.0820","37750.8945","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","37750.8945 41120.0820","103.95121107233138 1.3576773100495547","No"
"T79","BLK 451/460 TAMPINES STREET 42","41482.7031","37721.6602","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","37721.6602 41482.7031","103.9544694414271 1.3574127639795266","No"
"T8","BLK 137/139 TAMPINES ST 11","40338.7812","36505.4414","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","36505.4414 40338.7812","103.94419007328689 1.3464142307322384","No"
"T80","BLK 461/471 TAMPINES STREET 44","41494.2122","37985.4918","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37985.4918 41494.2122","103.954572976966 1.3597987523788797","No"
"T81","BLK 485A/489C TAMPINES ST 45/AVE 9","41871.9858","38044.2348","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38044.2348 41871.9858","103.9579675438941 1.3603298279115987","No"
"T9","BLK 140/148 TAMPINES STREET 12","40278.3039","36660.4761","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","36660.4761 40278.3039","103.94364671149785 1.3478163316444636","No"
"UAM1","BLK 2A JOO SENG RD","33107.6324","35187.5516","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","35187.5516 33107.6324","103.87921358148871 1.3344978087589319","No"
"UA2","BLK 3 TO 5 UPPER ALJUNIED LANE","33109.3320","35098.3344","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","35098.3344 33109.3320","103.87922883841398 1.3336909599995803","No"
"UA3","BLK 10/11/19 TO 21 JOO SENG ROAD","33265.0270","35204.8735","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","35204.8735 33265.0270","103.88062786478974 1.3346544348736105","No"
"UA4","BLK 8 JOO SENG ROAD","33075.3159","35275.3778","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","NO","NO","0","0.00","N","35275.3778 33075.3159","103.87892321391767 1.3352920829560473","No"
"UA5","BLK 12 TO 18 JOO SENG ROAD","33326.6984","35410.4255","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","5.40","N","35410.4255 33326.6984","103.88118205349492 1.3365133628413535","No"
"UA6","BLK 2 UPPER ALJUNIED LANE","33101.2667","35157.3013","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","35157.3013 33101.2667","103.8791563769783 1.3342242369297455","No"
"UBA4","UBI AVE 4","34994.9175","35328.5373","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","35328.5373 34994.9175","103.89617194548707 1.3357724555455204","No"
"UBKM","BLK 13A UPPER BOON KENG ROAD","32179.7655","33010.5845","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","33010.5845 32179.7655","103.8708758709943 1.3148102349625574","No"
"UBK2","BLK 11/15/18 UPPER BOON KENG","32237.8125","33097.6016","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","33097.6016 32237.8125","103.87139746428304 1.3155971787692997","No"
"UBK4","BLK 19/20 UPPER BOON KENG","32537.2679","33063.4121","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","3.25","N","33063.4121 32537.2679","103.8740882168002 1.3152879383142535","No"
"UBK5","BLK 38/39 UPPER BOON KENG","32522.9258","33422.5430","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","3.25","N","33422.5430 32522.9258","103.87395939841522 1.3185357926226657","No"
"UBM1","BLK 5 UPP BOON KENG RD","32374.0247","32770.7980","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","7","2.15","N","32770.7980 32374.0247","103.87262135331005 1.3126416639781904","No"
"UBM2","BLK 8 UPPER BOON KENG ROAD","32125.5883","32822.4057","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","12","2.15","N","32822.4057 32125.5883","103.87038903663993 1.3131084199960439","No"
"UCS","BLK 34 UPPER CROSS STREET CAR PARK","28950.0781","29897.9961","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","29897.9961 28950.0781","103.84185541409289 1.2866613509167766","Yes"
"U1","BLK 101/110 BUKIT BATOK WEST AVE 6","18391.6404","36723.7690","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","36723.7690 18391.6404","103.74698150151227 1.348389703017815","No"
"U10","BLK 178/184 BUKIT BATOK WEST AVENUE 8","18029.1321","36437.8173","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","36437.8173 18029.1321","103.7437242364322 1.3458035421982857","No"
"U11","BLK 166 BUKIT BATOK WEST AVENUE 8","17982.2826","36616.6603","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO","0","0.00","N","36616.6603 17982.2826","103.74330320604493 1.347420917122568","No"
"U12","BLK 201/211 BUKIT BATOK STREET 21","18668.6078","36565.8437","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","3.80","N","36565.8437 18668.6078","103.74947027262137 1.3469615718341352","No"
"U13","BLK 212/230 BUKIT BATOK STREET 21","19086.1700","36658.9200","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","36658.9200 19086.1700","103.75322229615675 1.347803447002071","No"
"U14","BLK 217/219 BUKIT BATOK STREET 21","19276.6800","36568.9300","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.15","N","36568.9300 19276.6800","103.75493417141703 1.3469896662522876","No"
"U15","BLK 231/237 BUKIT BATOK EAST AVENUE 5","19332.5650","36778.3610","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","36778.3610 19332.5650","103.75543627209288 1.3488837002095344","No"
"U16","BLK 238/241 BUKIT BATOK EAST AVENUE 5","19291.0823","36949.9677","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","36949.9677 19291.0823","103.75506347479029 1.3504356366859598","No"
"U17","BLK 242/253 BUKIT BATOK EAST AVE 2/5","19484.9573","36912.4024","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","36912.4024 19484.9573","103.75680557319679 1.3500959655979141","No"
"U18","BLK 254/265 BUKIT BATOK EAST AVE 4","19699.5049","37022.2461","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37022.2461 19699.5049","103.7587333867077 1.3510894123958352","No"
"U19","BLK 266/284 BUKIT BATOK EAST AVE 3/4","19653.7625","36736.2392","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 1PM-10.30PM","YES","0","4.50","N","36736.2392 19653.7625","103.75832244183836 1.3485028571990134","No"
"U2","BLK 111/132 BUKIT BATOK WEST AVE 6","18316.8368","36887.7302","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","9.99","N","36887.7302 18316.8368","103.74630929254846 1.3498724840033913","No"
"U20","BUKIT BATOK EAST AVE 2/6","19895.4902","36584.6445","SURFACE CAR PARK","COUPON PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","36584.6445 19895.4902","103.76049455516602 1.3471319561138069","No"
"U21","BLK 301/309 BUKIT BATOK STREET 31","18569.9729","37715.1464","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","5.40","N","37715.1464 18569.9729","103.74858361747656 1.3573554142331288","No"
"U22","BLK 310/323 BUKIT BATOK STREET 32/33","18339.7245","38092.0958","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38092.0958 18339.7245","103.7465145648491 1.36076433250331","No"
"U23","BLK 407-426 BUKIT BATOK WEST AVE 2/4","18234.0951","38341.6520","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 1PM-10.30PM","YES","0","0.00","N","38341.6520 18234.0951","103.7455653333894 1.3630211925739621","No"
"U24","BLK 324/336 BUKIT BATOK STREET 32/33","18465.5800","38439.7002","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 1PM-10.30PM","YES","0","4.50","N","38439.7002 18465.5800","103.74764534848646 1.3639079799053715","No"
"U24T","BLK 333/334 BUKIT BATOK WEST AVE 4","18441.4863","38506.9696","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 1PM-10.30PM","YES","0","9.99","N","38506.9696 18441.4863","103.74742882883731 1.3645163319090978","No"
"U25","BLK 337-353/355-356 BUKIT BATOK ST 34","18728.7311","38350.9289","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38350.9289 18728.7311","103.75000996550098 1.3631052483305381","No"
"U26","BLK 354/357-370 BUKIT BATOK ST 31","18742.2400","38064.6600","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","38064.6600 18742.2400","103.75013144078066 1.3605163414314803","No"
"U27","BLK 371-373 BUKIT BATOK ST 31","18846.1378","37962.5676","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","9.99","N","37962.5676 18846.1378","103.75106506231056 1.3595930873236581","No"
"U28","BLK 374-376 BUKIT BATOK ST 31","18790.0520","37772.6738","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","9.99","N","37772.6738 18790.0520","103.75056115304245 1.3578757399246888","No"
"U29","BLK 376 BUKIT BATOK MSCP","18649.5445","37851.9011","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","3","1.90","N","37851.9011 18649.5445","103.74929857711686 1.3585921987921121","No"
"U3","BLK 133/139 BUKIT BATOK WEST AVENUE 6","18098.9773","37055.7538","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37055.7538 18098.9773","103.74435163478523 1.351391956544542","No"
"U30","BLK 523-525 BUKIT BATOK STREET 52","19027.5388","37666.3629","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","37666.3629 19027.5388","103.7526951581767 1.3569143755488318","No"
"U31","BLKS 526-534 BUKIT BATOK STREET 51","18847.0784","37666.2614","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37666.2614 18847.0784","103.75107360482822 1.3569134026813714","No"
"U32","BLKS 512-514 BUKIT BATOK STREET 52","19018.5011","37355.1895","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","4.50","N","37355.1895 19018.5011","103.7526140417818 1.3541002341981307","No"
"U33","BLKS 535-542 BUKIT BATOK STREET 51/52","18873.0414","37452.2798","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37452.2798 18873.0414","103.75130696430497 1.3549782392536949","No"
"U34","BLKS 501-511 BUKIT BATOK ST 52","19139.7066","37093.5044","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.50","N","37093.5044 19139.7066","103.75370322750753 1.3517336858231885","No"
"U38","BLK 185/187 BUKIT BATOK WEST AVENUE 6","18124.0483","36539.8249","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","36539.8249 18124.0483","103.74457708245401 1.3467260929497136","No"
"U39","BLK 631 BUKIT BATOK CENTRAL","18837.6188","36875.2113","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","2","1.90","N","36875.2113 18837.6188","103.75098884548026 1.3497594316284764","No"
"U4","BLK 140/143 BUKIT BATOK STREET 11","17973.0318","36974.1108","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 1PM-10.30PM","YES","0","0.00","N","36974.1108 17973.0318","103.74321996303709 1.3506535652301483","No"
"U40","BLK 644A BUKIT BATOK CENTRAL","18879.8441","36750.5885","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","1.90","N","36750.5885 18879.8441","103.75136830370435 1.3486324013971243","No"
"U41","BLK 632/644 BUKIT BATOK CENTRAL","18955.5289","36844.8175","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","4.00","N","36844.8175 18955.5289","103.75204834998063 1.3494845970551799","No"
"U41A","BLK 630 BT BATOK CENTRAL","18690.7790","36915.3896","SURFACE CAR PARK","COUPON PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","9.99","N","36915.3896 18690.7790","103.74966938642947 1.3501227441783166","No"
"U43","BLK 404A BUKIT BATOK WEST AVENUE 7","18275.4565","38569.6475","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","1.90","N","38569.6475 18275.4565","103.74593691879758 1.3650831137381516","No"
"U45","BLK 285A BUKIT BATOK EAST AVE 3","19606.6244","36561.0495","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","7AM-7PM","NO","NO","2","2.00","N","36561.0495 19606.6244","103.75789892567143 1.3469184920371335","No"
"U46","BLK 297 - 299 BUKIT BATOK ST 22 BUKIT BATOK STREET 22","18463.4479","36256.9749","SURFACE CAR PARK","ELECTRONIC PARKING","7AM-10.30PM","SUN & PH FR 7AM-10.30PM","NO","0","0.00","N","36256.9749 18463.4479","103.74762688341622 1.3441682107567354","No"
"U48","BLK 350 BUKIT BATOK STREET 32","18590.8011","38166.1707","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","NO","YES","0","0.00","N","38166.1707 18590.8011","103.7487706304378 1.3614343194045226","No"
"U49","210A BUKIT BATOK STREET 21","18817.5304","36385.1968","SURFACE CAR PARK","COUPON PARKING","7AM-7PM","NO","NO","0","0.00","N","36385.1968 18817.5304","103.7508084878924 1.3453279131382956","No"
"U5","BLK 144/149 BUKIT BATOK WEST AVENUE 6","18135.2799","36917.0123","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 1PM-10.30PM","YES","0","0.00","N","36917.0123 18135.2799","103.74467788179155 1.3501372412828923","No"
"U50","BLK 230A BUKIT BATOK ST 21 BUKIT BATOK ST 21","19356.5349","36607.8807","SURFACE CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","0","0.00","N","36607.8807 19356.5349","103.75565170531752 1.3473419453360576","No"
"U51","BLK 412A BUKIT BATOK WEST AVE 4","18336.3250","38543.2265","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","7","2.15","N","38543.2265 18336.3250","103.74648387196004 1.364844191857187","No"
"U52","BLK 194 BUKIT BATOK WEST AVE 6","18172.9985","36305.5813","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","6","2.15","N","36305.5813 18172.9985","103.74501700592951 1.3446076956720505","No"
"U53","BLK 296 BUKIT BATOK ST 22","18363.2733","36194.2818","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","5","2.15","N","36194.2818 18363.2733","103.74672677463144 1.3436012053234194","No"
"U54","241A BUKIT BATOK EAST AVE 5","19312.2301","36987.8524","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","10","2.15","N","36987.8524 19312.2301","103.75525349002393 1.350778258267435","No"
"U55","BLK 445 BUKIT BATOK WEST AVE 8","17419.4393","36994.0568","MULTI-STOREY CAR PARK","ELECTRONIC PARKING","WHOLE DAY","SUN & PH FR 7AM-10.30PM","YES","8","2.15","N","36994.0568 17419.4393","103.73824558370232 1.3508337587853532","No"
